generation,rank_1,rank_2,swapAccepted
354000,1,4,1
355000,3,4,1
356000,1,2,1
357000,1,2,1
358000,1,3,1
359000,2,4,1
360000,1,4,0
361000,2,3,1
362000,2,3,1
363000,1,3,1
364000,1,3,1
365000,3,4,1
366000,2,3,1
367000,1,3,1
368000,1,3,1
369000,3,4,1
370000,2,4,1
371000,3,4,1
372000,2,3,1
373000,1,2,1
374000,2,3,1
375000,1,2,1
376000,1,4,1
377000,1,2,1
378000,3,4,0
379000,2,4,1
380000,1,4,1
381000,3,4,1
382000,1,3,1
383000,1,2,1
384000,2,3,1
385000,2,4,1
386000,3,4,1
387000,2,3,1
388000,2,3,1
389000,1,4,1
390000,2,3,1
391000,1,2,1
392000,2,4,0
393000,1,3,1
394000,3,4,1
395000,1,3,1
396000,2,3,1
397000,2,3,1
398000,1,2,1
399000,3,4,1
400000,2,4,1
401000,2,4,1
402000,3,4,1
403000,1,2,1
404000,2,4,1
405000,3,4,1
406000,3,4,1
407000,1,3,1
408000,1,3,1
409000,1,3,0
410000,2,3,1
411000,1,2,1
412000,2,3,1
413000,1,3,1
414000,2,4,1
415000,1,4,1
416000,3,4,1
417000,1,3,1
418000,2,4,1
419000,3,4,1
420000,2,4,1
421000,2,4,1
422000,1,4,1
423000,1,4,1
424000,1,4,0
425000,1,3,1
426000,2,3,1
427000,2,3,1
428000,2,4,1
429000,2,4,1
430000,2,4,1
431000,1,4,1
432000,3,4,1
433000,2,4,1
434000,2,3,1
435000,1,4,1
436000,3,4,1
437000,2,3,1
438000,2,3,1
439000,1,3,1
440000,1,2,1
441000,1,2,1
442000,1,2,1
443000,1,3,1
444000,2,3,1
445000,3,4,1
446000,1,2,1
447000,3,4,1
448000,1,2,1
449000,1,2,1
450000,2,4,1
451000,1,2,1
452000,1,4,1
453000,1,2,1
454000,2,3,1
455000,3,4,1
456000,1,2,1
457000,2,4,1
458000,1,4,1
459000,1,2,1
460000,1,2,1
461000,2,3,1
462000,1,4,1
463000,2,3,1
464000,1,4,1
465000,1,4,1
466000,2,3,1
467000,1,2,1
468000,1,2,1
469000,2,4,1
470000,1,2,1
471000,3,4,1
472000,2,3,1
473000,3,4,1
474000,1,4,1
475000,1,4,0
476000,2,4,1
477000,2,4,1
478000,1,2,1
479000,1,2,1
480000,1,4,1
481000,2,3,1
482000,1,2,1
483000,1,4,1
484000,2,3,1
485000,2,4,1
486000,2,3,1
487000,2,3,1
488000,2,3,1
489000,1,3,1
490000,1,4,1
491000,3,4,1
492000,1,2,0
493000,3,4,1
494000,2,4,1
495000,1,2,1
496000,1,3,1
497000,2,3,1
498000,1,4,1
499000,1,2,1
500000,3,4,1
501000,1,3,1
502000,3,4,1
503000,2,3,1
504000,1,3,0
505000,3,4,1
506000,2,3,1
507000,3,4,0
508000,1,4,1
509000,2,4,1
510000,2,4,1
511000,2,4,1
512000,1,2,1
513000,1,3,1
514000,2,4,1
515000,3,4,0
516000,1,2,0
517000,1,4,0
518000,2,4,1
519000,1,4,1
520000,2,3,1
521000,1,2,1
522000,1,4,1
523000,1,3,1
524000,3,4,1
525000,1,2,1
526000,1,4,1
527000,2,4,1
528000,2,4,1
529000,1,3,1
530000,3,4,1
531000,1,2,1
532000,1,4,1
533000,3,4,1
534000,3,4,1
535000,1,4,1
536000,3,4,1
537000,1,4,1
538000,2,4,1
539000,1,2,1
540000,2,4,1
541000,1,3,0
542000,1,4,1
543000,1,3,1
544000,2,3,1
545000,1,2,1
546000,1,2,1
547000,2,3,1
548000,3,4,1
549000,2,4,1
550000,2,4,1
551000,1,4,1
552000,2,3,1
553000,2,3,1
554000,2,4,1
555000,1,3,1
556000,2,4,1
557000,3,4,1
558000,2,4,1
559000,2,4,1
560000,2,4,1
561000,1,3,1
562000,2,3,1
563000,1,4,1
564000,1,4,0
565000,2,4,1
566000,1,4,1
567000,1,3,1
568000,2,4,1
569000,1,4,1
570000,1,3,1
571000,1,4,1
572000,1,3,1
